GRD_NEWIDS,POB
1kmN2042E3133,305
1kmN2042E3134,50
1kmN2042E3138,4935
1kmN2042E3139,1710
1kmN2042E3143,30
1kmN2042E3144,2170
1kmN2042E3145,3270
1kmN2042E3146,900
1kmN2042E3155,1055
1kmN2042E3161,15
1kmN2042E3165,1480
1kmN2042E3166,10780
1kmN2042E3167,33625
1kmN2042E3168,15100
1kmN2042E3169,30
1kmN2042E3177,415
1kmN2042E3178,1450
1kmN2042E3179,425
1kmN2043E3122,10
1kmN2043E3126,0
1kmN2043E3131,70
1kmN2043E3132,205
1kmN2043E3133,620
1kmN2043E3134,10
1kmN2043E3138,1530
1kmN2043E3139,355
1kmN2043E3142,10
1kmN2043E3143,1785
1kmN2043E3144,1660
1kmN2043E3145,875
1kmN2043E3146,830
1kmN2043E3154,175
1kmN2043E3155,695
1kmN2043E3165,13845
1kmN2043E3166,17325
1kmN2043E3167,24050
1kmN2043E3168,12575
1kmN2043E3169,70
1kmN2043E3174,140
1kmN2043E3178,3435
1kmN2043E3179,895
1kmN2044E3122,85
1kmN2044E3123,25
1kmN2044E3129,75
1kmN2044E3130,4085
1kmN2044E3131,800
1kmN2044E3141,45
1kmN2044E3142,5085
1kmN2044E3143,3500
1kmN2044E3144,2720
1kmN2044E3145,4840
1kmN2044E3146,0
1kmN2044E3161,155
1kmN2044E3165,4150
1kmN2044E3166,2090
1kmN2044E3167,6660
1kmN2044E3168,8820
1kmN2044E3169,7895
1kmN2044E3179,0
1kmN2045E3122,75
1kmN2045E3130,410
1kmN2045E3132,275
1kmN2045E3137,150
1kmN2045E3138,170
1kmN2045E3141,245
1kmN2045E3142,1235
1kmN2045E3143,1190
1kmN2045E3144,1000
1kmN2045E3145,5725
1kmN2045E3162,75
1kmN2045E3170,570
1kmN2045E3172,700
1kmN2045E3179,1290
1kmN2046E3122,10
1kmN2046E3125,10
1kmN2046E3131,0
1kmN2046E3132,85
1kmN2046E3141,1030
1kmN2046E3142,605
1kmN2046E3143,285
1kmN2046E3144,210
1kmN2046E3145,2530
1kmN2046E3146,590
1kmN2046E3171,545
1kmN2046E3172,120
1kmN2046E3179,9195
1kmN2046E3180,3230
1kmN2047E3131,360
1kmN2047E3133,50
1kmN2047E3141,410
1kmN2047E3142,265
1kmN2047E3143,165
1kmN2047E3144,760
1kmN2047E3145,1990
1kmN2047E3146,1725
1kmN2047E3170,0
1kmN2047E3171,915
1kmN2047E3172,130
1kmN2047E3179,605
1kmN2048E3122,0
1kmN2048E3127,45
1kmN2048E3128,125
1kmN2048E3129,520
1kmN2048E3135,550
1kmN2048E3136,130
1kmN2048E3137,140
1kmN2048E3144,445
1kmN2048E3145,1600
1kmN2048E3146,1240
1kmN2048E3162,525
1kmN2048E3170,95
1kmN2048E3171,95
1kmN2048E3172,1820
1kmN2048E3173,880
1kmN2048E3175,15
1kmN2048E3176,1315
1kmN2049E3123,15
1kmN2049E3126,115
1kmN2049E3127,20
1kmN2049E3128,225
1kmN2049E3129,90
1kmN2049E3130,195
1kmN2049E3133,30
1kmN2049E3134,35
1kmN2049E3135,840
1kmN2049E3136,760
1kmN2049E3138,0
1kmN2049E3139,325
1kmN2049E3140,35
1kmN2049E3141,0
1kmN2049E3142,400
1kmN2049E3143,1335
1kmN2049E3144,310
1kmN2049E3145,1435
1kmN2049E3146,820
1kmN2049E3161,2435
1kmN2049E3162,11845
1kmN2049E3163,2080
1kmN2049E3170,135
1kmN2049E3172,225
1kmN2049E3173,35
1kmN2049E3175,45
1kmN2049E3176,105
1kmN2049E3179,0
1kmN2050E3123,810
1kmN2050E3126,0
1kmN2050E3127,125
1kmN2050E3128,300
1kmN2050E3129,0
1kmN2050E3130,35
1kmN2050E3134,60
1kmN2050E3135,4735
1kmN2050E3136,1260
1kmN2050E3137,385
1kmN2050E3138,75
1kmN2050E3141,1480
1kmN2050E3142,1050
1kmN2050E3143,6210
1kmN2050E3144,1105
1kmN2050E3145,1160
1kmN2050E3146,1115
1kmN2050E3147,245
1kmN2050E3161,4575
1kmN2050E3162,4485
1kmN2050E3163,925
1kmN2050E3164,1000
1kmN2050E3169,115
1kmN2050E3170,180
1kmN2050E3171,125
1kmN2050E3172,350
1kmN2050E3173,955
1kmN2050E3175,0
1kmN2050E3177,0
1kmN2050E3178,1175
1kmN2050E3179,4275
1kmN2051E3126,165
1kmN2051E3127,350
1kmN2051E3135,285
1kmN2051E3136,1865
1kmN2051E3137,6060
1kmN2051E3138,575
1kmN2051E3140,140
1kmN2051E3141,1880
1kmN2051E3142,85
1kmN2051E3143,2495
1kmN2051E3144,1155
1kmN2051E3160,25
1kmN2051E3161,3485
1kmN2051E3162,9380
1kmN2051E3163,35
1kmN2051E3164,55
